lat,lng,formatted_address,city,uf,cep
-28.8176,-49.25158,"Rodovia Jorge Fortulino, Balneário Rincão - SC, 88828-000, Brasil",Balneário Rincão,SC,88828-000
-20.61413,-46.04788,"Rua Doutor Avelino Queiroz, 191, Capitólio - MG, 37930-000, Brasil",Capitólio,MG,37930-000
-23.50346,-45.12436,"Avenida Beira Mar, Perequê-Mirim, Ubatuba - SP, 11680-000, Brasil",Ubatuba,SP,11680-000
-26.78998,-48.6046,"Avenida São João, 298, Praia de Armação do Itaporocoy, Penha - SC, 88385-000, Brasil",Penha,SC,88385-000
-24.1747,-46.81734,"Rua São Paulo, 780, Umuarama, Itanhaém - SP, 11740-000, Brasil",Itanhaém,SP,11740-000
-27.48636,-48.64833,"Rua Lateral BR 101, 243, Prado de Baixo, Biguaçu - SC, 88160-000, Brasil",Biguaçu,SC,88160-000
-29.3281,-49.73955,"Rua do Prefeito, 295, Torres - RS, 95560-000, Brasil",Torres,RS,95560-000
-22.77218,-53.26762,"Avenida João Carraro, 256, Porto Rico - PR, 87950-000, Brasil",Porto Rico,PR,87950-000
-27.00962,-48.61308,"Rua Osório Fernandes de Macedo, 62, Da Barra, Balneário Camboriú - SC, 88332-075, Brasil",Balneário Camboriú,SC,88332-075
-22.84635,-50.87609,"Rua Minas Gerais, 474, Paranagi, Sertaneja - PR, 86340-000, Brasil",Sertaneja,PR,86340-000
-23.92762,-46.20835,"Rodovia Ariovaldo de Almeida Viana, Guarujá - SP, Brasil",Guarujá,SP,
-22.77131,-53.26849,"Avenida Celso Romano de Oliveira, Porto Rico - PR, 87950-000, Brasil",Porto Rico,PR,87950-000
-24.04366,-52.37811,"Rua Brasil, Centro, Campo Mourão - PR, Brasil",Campo Mourão,PR,
-23.69568,-45.43858,"Avenida Manoel Silva, 51, Porto Novo, Caraguatatuba - SP, 11667-752, Brasil",Caraguatatuba,SP,11667-752
-24.00062,-46.29679,"Rua Jorge Salvador Chere, 197, Guarujá - SP, 11420-700, Brasil",Guarujá,SP,11420-700
-21.74222,-52.07958,"Avenida Agenor Nogueira, 1115, Presidente Epitácio - SP, 19470-000, Brasil",Presidente Epitácio,SP,19470-000
-23.70726,-45.43257,"Marina Flat Píer 22, Perequê-Mirim, Caraguatatuba - SP, 11667-000, Brasil",Caraguatatuba,SP,11667-000
-23.42738,-49.72396,"Rua Pedro Balbino de Souza, 17, Carlópolis - PR, 86420-000, Brasil",Carlópolis,PR,86420-000
